	0
196	অভিযান
197	অনশনজর্জরিত
198	অস্ত্রক্ষেপণ
199	অভিমুখীকরণ
200	অনুচিকীর্ষা
201	অমর্ত
202	অপারগ
203	অন্তঃপ্রবেশ
204	অনাদৃত
205	অগ্রবর্তী
206	অনুব্রাজিকা
207	অলোকদৃষ্টি
208	অথচ
209	অষ্ট
210	অপাঙ্গ
211	অক্ষারলবণ
212	অবিস্রস্ত
213	অনুচ্ছ্বসিত
214	অস্ত্রধারী
215	অপ্রতীতি
216	অপরার্ধ
217	অনভীষ্ট
218	অননুভব
219	অনবনমন
220	অনুস্যূত
221	অনিষ্টকামী
222	অশ্রুসিক্ত
223	অকল্যাণ
224	অনৌজ্জ্বল্য
225	অন্নাকাঙ্ক্ষী
226	অপমানব্যথিত
227	অসমাধানযোগ্য
228	অনল্পজীবী
229	অ্যান্টিএয়ারক্রাফ্‌ট
230	অত্যুৎপাদনশীল
231	অ্যাড-হক
232	অনাসক্ত
233	অবীক্ষা
234	অন্তর্বত্নী
235	অগম্যা
236	অনির্বৃত
237	অস্ত্রচিকিৎসা
238	অত্যুদ্‌বেগ
239	অপরিণতবয়স্ক
240	অভিনয়যোগ্য
241	অভিনেতা
242	অস্ত্র
243	অনুশোচনা
244	অন্তরিক্ষচারী
245	অভূত
246	অপগুণ
247	অভিনিষ্মান্ত
248	অচলিষ্নু
249	অদিতিনন্দন
250	অনবহিত
251	অতিমান্য
252	অবধারিত
253	অপুষ্টিকর
254	অমর্যাদা
255	অনপেক্ষিণী
256	অগম্ভীর
257	অনির্ধারিত
258	অন্নসংকট
259	অনুবাদী
260	অপক্ষপাতিত্ব
261	অভিকরণ
262	অবগত
263	অধর্মভীতি
264	অভিধান
265	অকালঝঞ্ঝা
266	অগ্রগামিতা
267	অভিনিহিত
268	অপরিণামদর্শিনী
269	অত্যালস্য
270	অদ্রব্য
271	অহিংসাজীবী
272	অবয়বী
273	অদ্বৈধ
274	অনার
275	অল্পদর্শিতা
276	অভিবাদিত
277	অপহারক
278	অন্নসমস্যা
279	অপনয়ন
280	অংশুমতী
281	অসফল
282	অনুজা
283	অর্ধতৎসম
284	অতীতবেদিনী
285	অপ্রাপ্তি
286	অ্যাদ্দিন
287	অবিশুদ্ধি
288	অক্রিয়াসক্তি
289	অনুদ্যোগী
290	অক্ষচক্র
291	অনন্যলক্ষ্য
292	অ্যাক্ট
293	অমূল্য
294	অনুচ্ছেদ
295	অনুরচনা
296	অভিচার
297	অলঙ্ঘনীয়
298	অত্যুদ্ধৃতি
299	অস্ত্রশিক্ষা
300	অস্তগামী
301	অগ্নিশুদ্ধি
302	অসংকল্পিত
303	অনৈতিক
304	অ্যাকোনাইট
305	অভিমানক্ষুব্ধ
306	অস্বীকৃতি
307	অন্তর্লিপ্ত
308	অপার্যমানে
309	অশ্রুতপূর্ব
310	অন্তর্দেশ
311	অঙ্কনবিশারদ
312	অনাদরজনিত
313	অ্যাডভোকেট
314	অন্যার্থে
315	অনায়াসলব্ধ
316	অনুস্বাক্ষর
317	অমিততেজ
318	অক্রোধ
319	অর্থভাণ্ডার
320	অনামুখো
321	অলী
322	অঙ্গসুষমা
323	অপকৃতি
324	অদূরগামিতা
325	অনুভবপ্রসূত
326	অদহনীয়
327	অনিয়ন্ত্রণ
328	অবচ্ছিন্ন
329	অবধার্য
330	অনতিবিস্তার
331	অধিবৃত্তি
332	অপ্রসিদ্ধি
333	অকালজাড্য
334	অনুগ্রহপাত্র
335	অঙ্গসৌষ্ঠব
336	অক্ষিকমল
337	অধিনায়িকা
338	অষ্টপঞ্চাশৎ
339	অশেষ
340	অধর্মচারিতা
341	অস্তগিরি
342	অশ্ম
343	অদ্রবণীয়
344	অধঃক্ষিপ্ত
345	অশোককানন
346	অগ্রজিহ্বা
347	অনারোগ্য
348	অপমৃত্যু
349	অসুজন
350	অসদ্‌বুদ্ধি
351	অপ্রশংসিত
352	অতৃপ্তি
353	অনুগ্রহপ্রার্থী
354	অক্রমিক
355	অপরাপর
356	অস্তাচল
357	অভ্যাগত
358	অনন্তচতুর্দশী
359	অখেদ
360	অবিঘ্নিত
361	অনুসন্ধানকারী
362	অত্যুদ্‌বিগ্ন
363	অর্ধমনস্ক
364	অভিনন্দনপত্র
365	অম্বুনিধি
366	অঞ্চলাসন
367	অর্থোদ্ধার
368	অস্পৃশ্য
369	অখিলব্যাপ্ত
370	অন্যথা
371	অববাহী
372	অহিতাকাঙ্ক্ষা
373	অক্ষিতারকা
374	অনাতপ
375	অনুযোগকারী
376	অভিবাদন
377	অমিত্র
378	অনাথিনি
379	অনুবিদ্ধ
380	অব্যবস্থা
381	অনার্য
382	অসাধ্যসাধন
383	অপমানজনক
384	অ্যামপেয়ার
385	অশ্মরী
386	অঙ্গচ্ছেদন
387	অশ্বগন্ধা
388	অনুরোধ
389	অক্ষেত্রজ
390	অমরুশতক
391	অননুকার্য
392	অবধ্য
393	অশারীরিকতা
394	অনুষঙ্গিত
395	অঙ্গসম্মার্জন
396	অমর্ত্যবাসী
397	অর্ডার
398	অঙ্গবৈকল্য
399	অত্যুদ্যমশীল
400	অখিলব্যাপ্তি
401	অভ্যক্ষ
402	অশেষবিধ
403	অস্ত্রপ্রত্যাহার
404	অকৃপণ
405	অবতরণী
406	অভ্যন্তরিত
407	অখ্যাতনাম্নী
408	অন্যদিন
409	অনাস্বাদনীয়
410	অভিচারিণী
411	অচৈতন্য
412	অধিগত
413	অধিকার
414	অপরাধপ্রবণ
415	অপচিকীর্ষু
416	অমিতাহারী
417	অচিকিৎসা
418	অনুরাগিণী
419	অপনীত
420	অহিংসা
421	অনীক্ষণ
422	অভিনয়কর্ম
423	অভিকত্ব
424	অর্ধবৃত্ত
425	অগোপনীয়
426	অনুচিকীর্ষু
427	অগ্নিকাণ্ড
428	অর্থসাশ্রয়
429	অনিরোধ্য
430	অনশনদুর্বল
431	অস্থিত
432	অ্যাব্রাহাম
433	অসদ্ভাব
434	অনতিবিস্তারিত
435	অযাত্রাক্ষণ
436	অসত্যকথন
437	অনাদ্য
438	অবলুপ্ত
439	অচ্ছুতজাতি
440	অপ্রিয়বাদিনী
441	অনাদেয়
442	অপরিপক
443	অঙ্গারক
444	অমিতব্যয়
445	অঙ্গিত্ব
446	অশিক্ষা
447	অনিরূপিত
448	অশ্বারোহী
449	অননুকরণ
450	অসদুপদেশ
451	অবিরোধ
452	অপ্রকাশ্য
453	অধ্যাত্মভাবনা
454	অদৈব
455	অকালসিদ্ধ
456	অধিরোপণ
457	অখ্যাতিজনক
458	অতিথি-নারায়ণ
459	অহিত
460	অগ্নিপূজা
461	অর্থশূন্য
462	অনাকুল
463	অশোকমঞ্জরি
464	অগ্নিস্ফুলিঙ্গ
465	অনুলেখন
466	অর্থনির্দেশ
467	অটনি
468	অনৃতবিলাসী
469	অনুদ্‌ঘাটন
470	অভ্রংলিহ
471	অকম্প্র
472	অপ্রধান
473	অগ্রিয়
474	অভাবগ্রস্ত
475	অব্যাজ
476	অষ্টত্রিংশ
477	অমনি
478	অক্কালাভ
479	অনবগাহনযোগ্য
480	অতীতজীবন
481	অভিব্যক্ত
482	অনিচ্ছাসম্পাদিত
483	অজস্র
484	অস্ত্রজ্ঞ
485	অনিচ্ছাপ্রসূত
486	অত্যুজ্জ্বল
487	অভক্ষণীয়
488	অস্বাচ্ছন্দ্য
489	অম্লোদ্‌গার
490	অনুনাসিক
491	অযত্নশীল
492	অগ্র
493	অঙ্গবর্ণ
494	অজ্ঞতাহেতু
495	অবসরকাল
496	অশৌচক্ষান্তি
497	অনুপমেয়
498	অকৃত্যকারী
499	অপকীর্তি
500	অগ্নিবেষ্টনী
501	অকল্মষ
502	অনুত্তীর্ণ
503	অপিনিহিতি
504	অগর্ভিণী
505	অনিরূপণীয়
506	অযত্নসিদ্ধ
507	অপ্রতিভাত
508	অবশ্যকর্তব্য
509	অর্ধরাত্রি
510	অঙ্গপ্রত্যঙ্গ
511	অপটু
512	অ্যাপ্লিকেশন
513	অন্বয়বন্ধ
514	অদূরস্থিত
515	অখিলপালক
516	অনুষদসদস্য
517	অনাগম
518	অনর্থ
519	অদ্রাব্য
520	অঙ্গসংহতি
521	অ্যালজেবরা
522	অনুগ্রাহিতা
523	অদেখা
524	অনায়াসসম্ভূত
525	অপেক্ষাকৃত
526	অধ্বগ
527	অনুদ্বায়ী
528	অতলান্ত
529	অভিশপ্ত
530	অস্বীকার্য
531	অসমর্থিত
532	অপরিমাণ
533	অবেক্ষিত
534	অ্যাটাক
535	অবকাশযাপন
536	অশৌচ
537	অপনোদন
538	অমিতাচারী
539	অগ্রপরিকর
540	অচিন্তন
541	অঞ্চলাবরণ
542	অযুত
543	অকালবিরাম
544	অদৃষ্টবাদী
545	অপ্রীতিভাজন
546	অ্যাড
547	অন্যোন্য
548	অপ্রণাম
549	অদিতিজ
550	অনৃণ
551	অগ্ন্যস্ত্র
552	অণুমাত্রিক
553	অতিবৃষ্টি
554	অনায়াসলভ্য
555	অনির্বাণ
556	অজ্ঞাতকুলশীল
557	অধরৌষ্ঠ্য
558	অনুপহৃত
559	অভিব্যঞ্জিত
560	অয়নাংশ
561	অযাচিত
562	অর্পয়িতা
563	অনুলেখ্য
564	অনাক্রমণীয়
565	অ্যালবাম
566	অগ্নিপ্রশমন
567	অখনন
568	অনুপ্রাণনা
569	অমিতভাষিণী
570	অর্ডিনারি
571	অল্পতা
572	অহিতাকাঙ্ক্ষী
573	অনভিযুক্ত
574	অজশৃঙ্গী
575	অসংগতিবর্জিত
576	অনতি-অতীত
577	অলকাতিলকা
578	অশনিনিপাত
579	অধ্যাস
580	অকুলান
581	অনুজকল্প
582	অকায়
583	অঙ্গুস্তানা
584	অধ্বনিত
585	অগ্নিবেষ্টিত
586	অনিষ্পন্ন
587	অগদতন্ত্র
588	অধিবর্ষ
589	অনির্বাপণ
590	অনভিপ্রায়
591	অখ্যাতি
592	অভিহিত
593	অনুঘটক
594	অষ্টাশীতি
595	অ্যাস্ট্রোলজি
596	অষ্টাঙ্গিক
597	অনাশ্রয়িতা
598	অনির্ধারণ
599	অঅভিস্যন্দী
600	অধিবিদ্যা
601	অনন্তকালব্যাপিতা
602	অপত্যবাৎসল্য
603	অনুপ্রাস
604	অন্তশয্যা
605	অক্ষিগোলক
606	অতলশায়ী
607	অ্যানার্কি
608	অবিবিক্ত
609	অকরোটি
610	অধীনা
611	অডিট
612	অমিয়
613	অন্তরীভূত
614	অয়নান্তিক
615	অনিমিষনেত্র
616	অবিভক্ত
617	অভিস্যন্দ
618	অনুচ্চারণীয়
619	অমিত্রসম্ভব
620	অত্যাধিক্য
621	অদৃষ্ট
622	অচিক্কণ
623	অবিবক্ষা
624	অস্ত্রনিক্ষেপ
625	অচিন্ত্যপূর্ব
626	অজ্ঞাতসূত্র
627	অগ্রন্থনা
628	অকালিক
629	অকিঞ্চন
630	অকর্ণপাত
631	অসমদৃষ্টি
632	অনল
633	অনায়াসসৃষ্ট
634	অভিশাপ
635	অবচয়
636	অমেরুকরণ
637	অ্যালিগেশন
638	অসূয়া
639	অনিন্দনীয়
640	অজ্ঞানতা
641	অব্যয়
642	অনুদ্‌গম
643	অধ্যাদিষ্ট
644	অর্ণব
645	অসাক্ষাতে
646	অন্তঃশত্রু
647	অতিবড়ো
648	অর্গল
649	অঘ্ন্য
650	অ্যান্টিক্লাইম্যাক্‌স
651	অগ্নিবর্ষণ
652	অপরিতুষ্ট
653	অর্চক
654	অঙ্গুলিত্রাণ
655	অনিষ্পত্তি
656	অদূরবর্তিতা
657	অর্থলিপ্সা
658	অবনমন
659	অধিকারূঢ়বৈশিষ্ট্যরূপক
660	অস্ত্রবর্ষণ
661	অগ্রথিত
662	অধোদেশ
663	অন্তাশ্রয়
664	অসহনীয়
665	অতলমুখিতা
666	অসতী
667	অনুগ্রাহী
668	অপ্রতিপক্ষ
669	অনুলেখা
670	অবলোপন
671	অন্নপুষ্ট
672	অনাদায়ি
673	অর্থনৈতিক
674	অংশীদারি
675	অনমিত
676	অরাতিসূদন
677	অক্ত
678	অনন্তর
679	অসত্যাশ্রিত
680	অ্যালোপ্যাথ
681	অয়স্কান্তমণি
682	অধীন
683	অবাচ্য
684	অনধ্যবসায়
685	অনপনেয়
686	অভিশাপগ্রস্ত
687	অচ্ছিদ্র
688	অযত্নপরায়ণ
689	অঙ্গুলিমেয়
690	অনাথনিবাস
691	অনলবর্ষী
692	অনবগুণ্ঠন
693	অদ্রি
694	অপরিশোধনীয়
695	অনন্তকালব্যাপিনী
696	অবয়ব
697	অসহযোগী
698	অ্যামনেস্টি
699	অচৈতন্যাবস্থা
700	অন্নভিক্ষু
701	অর্ধনমিত
702	অকলুষ
703	অবোলা
704	অগ্রবর্তিত্ব
705	অকৃতঘ্ন
706	অন্তর্জাতীয়
707	অর্থব্যয়
708	অধ্যয়নরত
709	অনুদ্‌বর্তন
710	অর্চি
711	অব্যর্থফলপ্রদ
712	অন্তঃপুরচারিণী
713	অবজেক্ট
714	অবসিত
715	অনিন্দ্যসুন্দরী
716	অপ্রত্যয়
717	অনবস্থ
718	অকালীয়
719	অগ্রহণীয়
720	অমায়িক
721	অক্সাইড
722	অনাচ্ছাদন
723	অধঃক্ষয়
724	অতিমাত্রা
725	অপরিণত
726	অতিমিত
727	অঞ্জন
728	অন্তরা
729	অদৃষ্টপ্ররোচিত
730	অগদ
731	অঙ্গসংবাহন
732	অপকার
733	অনুপলব্ধি
734	অনুমতিব্যতিরেক
735	অবাঞ্ছিত
736	অ্যাসিমেট্রি
737	অকৃতি
738	অসংশয়িত
739	অভীষ্ট
740	অলৌকিক
741	অপ্রীতিকর
742	অজহল্লিঙ্গ
743	অনিয়ন্ত্রিত
744	অন্বর্থ
745	অনাদরক্রুদ্ধ
746	অঙ্গশুদ্ধি
747	অযাচন
748	অসহ্য
749	অমরালয়
750	অবজার্ভার
751	অকালমৃত্যু
752	অর্থগর্ভ
753	অধর্মপরায়ণ
754	অনভিলাষিণী
755	অমানুষ
756	অম্বর
757	অনুগমনকারিণী
758	অন্যপোষিত
759	অবন্তী
760	অনধিকারী
761	অনুনয়ী
762	অবন্তিকা
763	অ্যানিমিয়া
764	অননুমোদনযোগ্য
765	অধরা
766	অকালজলদোদয়
767	অক্ষুণ্না
768	অতিগর্ব
769	অমৃতভোগী
770	অলাবূ
771	অজাগলস্তন
772	অকার্পণ্য
773	অভ্যুত্থান
774	অলিম্পিক্‌স
775	অন্ত্রবৃদ্ধি
776	অক্ষিকূটক
777	অম্লজান
778	অনিষ্টকারক
779	অস্ট্রেলয়েড
780	অভ্যুত্থিত
781	অন্তিমদশা
782	অন্যমতাশ্রয়ী
783	অভ্রনীলিমা
784	অসমতল
785	অযত্নসম্ভূত
786	অসংগত
787	অসমরূপী
788	অগদশাস্ত্র
789	অপভাষিত
790	অপরাধচেতনা
791	অবিকারিতা
792	অন্তর্ভুক্তি
793	অত্যুৎসাহ
794	অদর্শনব্যাকুল
795	অনুক্ত
796	অপ্রতিম
797	অব্যভিচারিণী
798	অগ্নিকন্যা
799	অপ্রণীত
800	অডিটার
801	অতঃকিম্
802	অটোগ্রাফ
803	অধুনাতন
804	অজপা
805	অন্যতম
806	অসদ্‌গ্রহ
807	অদর্শনক্ষুণ্ন
808	অঙ্গরূহ
809	অগুহ্য
810	অনবধানসিদ্ধ
811	অনধিষ্ঠিত
812	অবৈধ
813	অমিত্রাক্ষর
814	অঘমর্ষী
815	অ্যালসেশিয়ান
816	অগ্রগণ্য
817	অপবিত্র
818	অধ্যাত্মমুখী
819	অণ্ডাংশ
820	অনর্থবাদী
821	অসুরবিনাশিনী
822	অনিষ্টবাসনা
823	অপরাধবিজ্ঞান
824	অসুহৃদ
825	অহিতকর
826	অনভিপ্রেত
827	অনায়াসসাফল্য
828	অর্শ
829	অপরাধভাগিনী
830	অকালবিধবা
831	অধ্যাসিত
832	অভিবাসিত্ব
833	অল্প
834	অসংযোজন
835	অবজেকটিভ
836	অবিজিত
837	অকল্যাণকর
838	অসুবিধা
839	অবলম্বী
840	অক্রুদ্ধ
841	অন্তক
842	অন্তরাসীন
843	অজ্ঞান
844	অ্যাটর্নি
845	অনসূয়া
846	অস্ফুটবাক
847	অগ্নায়ী
848	অসিচালনা
849	অবাস্তব
850	অনাত্মীয়া
851	অক্লিষ্ট
852	অশৌচভঙ্গ
853	অখাদ্য
854	অমিতবীর্য
855	অলটারনেটিভ
856	অজ্ঞানত
857	অগ্রনির্ণয়
858	অস্থায়ীভাব
859	অর্থচিন্তা
860	অধ্যাহার
861	অসংসক্ত
862	অর্চিষ্মান
863	অপরিগ্রহ
864	অপার্থিব
865	অধোলোক
866	অতলস্পর্শ
867	অন্যাসক্তি
868	অনুক্ষণ
869	অতিমানবিক
870	অস্পষ্ট
871	অল্পজীবী
872	অনুসারে
873	অগোচর
874	অবকীর্ণ
875	অজ্ঞানপ্রসূত
876	অননুসৃতি
877	অভিন্নহৃদয়েষু
878	অস্তমিত
879	অনধিকারচর্চা
880	অঙ্গাঙ্গি
881	অনু
882	অহিংস্রক
883	অর্ধনারীশ্বর
884	অদ্বৈতবাদ
885	অবিবাহিতা
886	অধিনিয়ম
887	অনশনকারী
888	অণু-পরমাণু
889	অনভ্যস্ত
890	অধর্মীয়
891	অনুপগম্য
892	অতিক্রমণীয়
893	অপ্রতিভ
894	অতিরতি
895	অগ্নিগর্ভ
896	অদৃষ্টবাদ
897	অভ্যর্থনা-সমিতি
898	অশক্ত
899	অনবধানজাত
900	অবগাহ্য
901	অক্সিজেন
902	অগ্নিমূর্তি
903	অতিথিশিল্পী
904	অভিজ্ঞান
905	অহংকৃত
906	অনৃণী
907	অরবিন্দ
908	অবিদ্বান
909	অঙ্কনকুশল
910	অজ্ঞতাজনিত
911	অধীনস্থ
912	অনিয়তাকার
913	অনায়াসসৃজন
914	অগ্রণী
915	অমাতিমির
916	অপগমন
917	অন্তরাদেশ
918	অম্লমধুর
919	অযথা
920	অনুচ্চকিত
921	অদ্ভুতদর্শন
922	অকম্পমান
923	অণুমাত্র
924	অভেদিতা
925	অস্ত্রোপচার
926	অখিলবিশ্ব
927	অক্ষরজীবিক
928	অগ্নিবাহক
929	অভিচারসিদ্ধ
930	অঙ্গবিলাস
931	অম্বুজাক্ষী
932	অগ্রজন্মা
933	অর্ধাহারী
934	অতুল্য
935	অর্থান্তরন্যাস
936	অস্বচ্ছন্দ
937	অজিজ্ঞাসা
938	অন্তর্বিন্যাস
939	অঙ্কুশযন্ত্রণা
940	অপ্রণয়
941	অনুযায়ী
942	অনুষঙ্গ
943	অঞ্জলিদত্ত
944	অসামঞ্জস্য
945	অশরীরী
946	অননুমান
947	অভিধারণ
948	অসম্পর্কিত
949	অদ্বিতীয়া
950	অপ্রচলন
951	অত্যাহারী
952	অঘনাশন
953	অ্যাসিমেট্রিক্যাল
954	অর্থসম্বল
955	অ্যাসপ্যারাগাস
956	অক্ষিকোণ
957	অনির্বিণ্ন
958	অশুচি
959	অঙ্গসংরাগ
960	অবগুন্ঠন
961	অগ্নিপক
962	অনিন্দ্যকান্তি
963	অতলস্পর্শিতা
964	অত্রস্থ
965	অ্যাথলিট
966	অদেয়
967	অভিকর্তা
968	অচক্ষুষ্মান
969	অধোগ
970	অন্তঃশক্তি
971	অধোগামী
972	অকালবৈধব্য
973	অশ্বক্ষুর
974	অর্থনির্মাণ
975	অপ্রকৃষ্ট
976	অসূর্যম্পশ্যা
977	অনাথাশ্রম
978	অনিয়ম
979	অংশুবিকাশ
980	অমর্ত্য
981	অপ্রবাস
982	অর্ধনিমীলিত
983	অশনিপাত
984	অ্যান্টি-পারস্পির‍্যান্ট
985	অক্ষমালা
986	অঙ্গপরিতৃপ্তি
987	অনুদ্দিষ্ট
988	অতিআধুনিক
989	অক্ষমাহ
990	অক্ষিকোটর
991	অচূর্ণন
992	অগ্রভাগ
993	অধ্যাত্মতাত্ত্বিক
994	অবলোক
995	অগ্নিদীপ্তি
996	অজ্ঞতাপ্রসূত
997	অংসফলক
998	অঙ্কশায়ী
999	অনুল্লেখিত
1000	অপালনীয়
1001	অবিবক্ষিত
1002	অভিগৃহীত
1003	অভিনীত
1004	অনুৎসাহী
1005	অনালাপিনী
1006	অসংকলিত
1007	অনুৎপত্তি
1008	অল্পভাষিতা
1009	অনুষ্ঠিত
1010	অরাতি
1011	অগ্রপরিচর
1012	অন্তর্বেদী
1013	অননুভবনীয়
1014	অপব্যবহৃত
1015	অঙ্গন্যাস
1016	অনন্যনির্ভর
1017	অকৃতাপরাধ
1018	অধিশ্রিত
1019	অবজ্ঞেয়
1020	অপ্রশস্তি
1021	অকামুক
1022	অনস্বীকার্য
1023	অ্যালামাটি
1024	অরণ্যজাত
1025	অবলোকন
1026	অম্বা
1027	অশ্বারোহণ
1028	অপরা
1029	অনুৎপন্ন
1030	অগ্নিক্রীড়া
1031	অনুক্রমিক
1032	অজ্ঞাতচরিত্র
1033	অন্নধ্বংসকারী
1034	অশনিপতন
1035	অসভ্য
1036	অন্তর্জ্যোতি
1037	অনাদরণীয়া
1038	অনুশোচন
1039	অবশ্যপালনীয়
1040	অহর্নিশি
1041	অখিলবিস্তারী
1042	অপ্রণোদন
1043	অপ্রগল্‌ভ
1044	অলক
1045	অনৃজু
1046	অকীর্তিমান
1047	অপাবরণ
1048	অভিনেতৃগণ
1049	অগ্রগ
1050	অগ্রাহ্যকারিণী
1051	অকূলত্রাণ
1052	অ্যাকাডেমি
1053	অদৃঢ়
1054	অধিকারস্থাপন
1055	অদেশীয়
1056	অজরণ
1057	অপরিস্রুত
1058	অগ্নিদীপক
1059	অঙ্গুরী
1060	অপচিতি
1061	অপ্রকাশ
1062	অক্ষরজীবক
1063	অভিষেচন
1064	অনামন্ত্রিত
1065	অকাল
1066	অর্ধোচ্চারণ
1067	অর্থবিনিয়োগ
1068	অদ্যতন
1069	অঙ্কুরণ
1070	অসংসক্তি
1071	অগ্নিদীপ্ত
1072	অশিষ্ট
1073	অপচেষ্টা
1074	অনশনযন্ত্রণা
1075	অনাশ্রয়
1076	অমত
1077	অতঃপর
1078	অ্যালোকেশন
1079	অকণ্টক
1080	অঙ্গবিক্ষেপণ
1081	অমান্যকারী
1082	অনুবর্তী
1083	অঙ্কবিভাজন
1084	অর্থনিষেক
1085	অবিশ্বাসী
1086	অভিমুখী
1087	অনুমতিসাপেক্ষ
1088	অপমানাহত
1089	অচিন্ত্য
1090	অতুষ্টি
1091	অপঘৃণ্য
1092	অবলং
1093	অভিসন্ধি
1094	অঙ্গারাশ্রয়
1095	অধিকারিণী
1096	অলখ
1097	অধ্যাত্মবাদ
1098	অটোপ্‌সি
1099	অযোগ্য
1100	অনন্য
1101	অ্যাপোলজি
1102	অধিকরণ
1103	অধরপল্লব
1104	অযোগবাহ
1105	অধিকারহর্তা
1106	অজানিত
1107	অলিগুঞ্জরন
1108	অজ্ঞাতনাম্নী
1109	অ্যানিস্থেশিয়া
1110	অক্ষরানুরাগ
1111	অহিংসক
1112	অদ্যভক্ষ্যোধনুর্গুণঃ
